SRR_Acc	Hspercentage	Appercentage
SRR22137875	0	98.00
SRR22137876	0	99.00
SRR22137877	0	99.00
SRR22137878	0	99.00
SRR22137879	0	98.00
SRR22137880	0	98.00
SRR22137881	0	98.00
SRR22137882	0	99.00
SRR22137883	0	98.00
SRR22137884	0	98.00
SRR22137885	0	98.00
SRR22137886	9.00	90.00
SRR22137887	8.00	90.00
SRR22137888	8.00	91.00
SRR22137889	10.00	89.00
SRR22137890	9.00	90.00
SRR22137891	13.00	85.00
SRR22137892	0	99.00
SRR22137893	13.00	85.00
SRR22137894	0	99.00
SRR22137895	0	99.00
SRR22137896	0	99.00
SRR22137897	0	99.00
SRR22137898	0	98.00
SRR22137899	0	99.00
SRR22137900	0	99.00
SRR22137901	0	99.00
SRR22137902	0	99.00
SRR22137903	0	98.00
SRR22137904	0	98.00
